accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0.4803171455860138,0.7842820882797241,0.022740967571735382,0.022907737642526627,0.5303846001625061,0.5036166906356812,0.46726447343826294,0.7194070219993591,0.022177550941705704,0.021619165316224098,0.5123077034950256,0.49587923288345337
0.4825849235057831,0.7050502896308899,0.023760035634040833,0.023230604827404022,0.5357692241668701,0.5102525353431702,0.49658969044685364,0.6980448961257935,0.022105952724814415,0.02222069352865219,0.4969230890274048,0.503134548664093
0.5022764205932617,0.6963025331497192,0.024711504578590393,0.02348591387271881,0.5203846096992493,0.5203744173049927,0.5117197036743164,0.694567084312439,0.022346068173646927,0.02243521437048912,0.48615384101867676,0.5054165124893188
0.5087421536445618,0.6944035291671753,0.024741902947425842,0.023945147171616554,0.5238461494445801,0.5244687795639038,0.5158051252365112,0.6934182047843933,0.02261398732662201,0.02228272520005703,0.47846153378486633,0.5078235864639282
0.5115898847579956,0.6935845613479614,0.024835171177983284,0.024151770398020744,0.5253846049308777,0.526590883731842,0.5176401138305664,0.6927620768547058,0.022738099098205566,0.02277953363955021,0.48769229650497437,0.5102828145027161
0.513156533241272,0.693076491355896,0.024930737912654877,0.02421243116259575,0.5249999761581421,0.5284334421157837,0.5197867155075073,0.6922972798347473,0.022866008803248405,0.02288147807121277,0.48769229650497437,0.5127657055854797
0.5141173005104065,0.6927170753479004,0.02500314824283123,0.024310924112796783,0.5261538624763489,0.5296131372451782,0.5197520852088928,0.6919475197792053,0.022899385541677475,0.02315516211092472,0.4938461482524872,0.5140680074691772
0.515216588973999,0.6924512386322021,0.025049880146980286,0.02439980022609234,0.5269230604171753,0.5305458307266235,0.5196136236190796,0.6916798949241638,0.02300557680428028,0.0227354746311903,0.48461538553237915,0.5157930850982666
0.5157704949378967,0.6922509670257568,0.02483566291630268,0.024393722414970398,0.5261538624763489,0.5320218801498413,0.5205830335617065,0.6914727091789246,0.023119252175092697,0.02278151363134384,0.48461538553237915,0.5185686349868774
0.5160994529724121,0.6920976638793945,0.024831993505358696,0.024579929187893867,0.5299999713897705,0.532929539680481,0.5203753113746643,0.6913108229637146,0.02314891666173935,0.022978538647294044,0.48923078179359436,0.5190645456314087
0.5165755152702332,0.691979706287384,0.02478119358420372,0.02467196248471737,0.5315384864807129,0.5334699153900146,0.5208253860473633,0.6911833882331848,0.023223422467708588,0.023275986313819885,0.4953846037387848,0.5207937955856323
0.5168265104293823,0.6918873190879822,0.024738583713769913,0.024701721966266632,0.5319230556488037,0.5342273712158203,0.521656334400177,0.6910820603370667,0.023311514407396317,0.023316437378525734,0.4953846037387848,0.5221218466758728
0.5167918801307678,0.6918152570724487,0.02468668296933174,0.024801800027489662,0.5342307686805725,0.5345112085342407,0.5220025777816772,0.6910011172294617,0.02337280474603176,0.023540489375591278,0.5,0.5230714678764343
0.5169044137001038,0.6917583346366882,0.024692004546523094,0.0248924121260643,0.5361538529396057,0.5350191593170166,0.5218640565872192,0.6909355521202087,0.02339736931025982,0.02339562587440014,0.4969230890274048,0.5233815908432007
0.5168437957763672,0.6917132139205933,0.024720381945371628,0.024787485599517822,0.5338461399078369,0.5354123711585999,0.5222795605659485,0.6908820867538452,0.02342396229505539,0.02376122772693634,0.5046153664588928,0.523873507976532
0.5170861482620239,0.6916768550872803,0.02472647652029991,0.024901751428842545,0.5361538529396057,0.5357042551040649,0.5220025777816772,0.690838098526001,0.023527447134256363,0.023885350674390793,0.5076923370361328,0.5250622034072876
0.5171986818313599,0.6916477084159851,0.02471221424639225,0.02494148723781109,0.5369230508804321,0.5358971357345581,0.5223487615585327,0.6908016204833984,0.02353101223707199,0.024040549993515015,0.510769248008728,0.5247060656547546
