accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc
0.45416852831840515,0.8368988037109375,0.0222819522023201,0.02210032008588314,0.5376923084259033,0.4951831102371216,0.47183462977409363,0.7219862937927246,0.02309075929224491,0.022805985063314438,0.5369230508804321,0.5073074102401733
0.4861423671245575,0.7137184143066406,0.022704442963004112,0.023150714114308357,0.5299999713897705,0.5029476881027222,0.5178824663162231,0.6959320902824402,0.02204343117773533,0.022103823721408844,0.4723076820373535,0.4905262589454651
0.5026313066482544,0.6983885169029236,0.023505594581365585,0.023005494847893715,0.5088461637496948,0.5108934640884399,0.5208946466445923,0.6942321062088013,0.021900223568081856,0.02182741090655327,0.4630769193172455,0.48979753255844116
0.4957241415977478,0.6948052644729614,0.024049414321780205,0.023524174466729164,0.5284615159034729,0.5172507762908936,0.5118581652641296,0.693369448184967,0.022249791771173477,0.021966304630041122,0.4753846228122711,0.49444708228111267
0.4913790225982666,0.6932539939880371,0.024439871311187744,0.023937882855534554,0.5430769324302673,0.5244772434234619,0.5017830729484558,0.69255530834198,0.022928928956389427,0.02304915338754654,0.510769248008728,0.5030514597892761
0.4928504526615143,0.6924360394477844,0.02461777627468109,0.02457290329039097,0.556538462638855,0.5291233658790588,0.5027178525924683,0.6918721199035645,0.02344546467065811,0.023887230083346367,0.5292307734489441,0.5113719701766968
0.49139633774757385,0.691970705986023,0.02472051978111267,0.024889174848794937,0.5657692551612854,0.5324559807777405,0.49008068442344666,0.6913319826126099,0.023862943053245544,0.023941567167639732,0.5446153879165649,0.5175781846046448
0.4919675886631012,0.6916939616203308,0.024768106639385223,0.024739893153309822,0.5615384578704834,0.5340922474861145,0.49215802550315857,0.690902054309845,0.024225110188126564,0.024103747680783272,0.5461538434028625,0.5232294797897339
0.49389779567718506,0.6915205717086792,0.024810384958982468,0.025027628988027573,0.5661538243293762,0.5354505777359009,0.5063185691833496,0.6905467510223389,0.024531595408916473,0.024792233482003212,0.5461538434028625,0.5274430513381958
0.497489869594574,0.6914065480232239,0.024809647351503372,0.024766050279140472,0.5557692050933838,0.5361087918281555,0.5125852823257446,0.6902393102645874,0.024658961221575737,0.024773498997092247,0.5384615659713745,0.5295475125312805
0.5008482336997986,0.6913270354270935,0.024834085255861282,0.024784259498119354,0.552307665348053,0.5367249250411987,0.5186787843704224,0.6899610757827759,0.02468711882829666,0.02494981326162815,0.5353845953941345,0.5299019813537598
0.5029429197311401,0.6912671327590942,0.024866359308362007,0.024723464623093605,0.5484615564346313,0.5363616943359375,0.5215178728103638,0.6897016167640686,0.02480238303542137,0.025234319269657135,0.5384615659713745,0.5323172807693481
0.5054876804351807,0.691218912601471,0.024879131466150284,0.024618174880743027,0.5430769324302673,0.5366756916046143,0.5235259532928467,0.6894556879997253,0.02488340251147747,0.024996377527713776,0.5307692289352417,0.5337357521057129
0.507123589515686,0.6911788582801819,0.024908291175961494,0.024616407230496407,0.5411538481712341,0.5372910499572754,0.5245992541313171,0.6893400549888611,0.02492952160537243,0.025328397750854492,0.5369230508804321,0.5347402095794678
0.5083093643188477,0.6911578178405762,0.0249064601957798,0.024558817967772484,0.5384615659713745,0.5368237495422363,0.5251532196998596,0.6893184185028076,0.02498660609126091,0.025357844308018684,0.5369230508804321,0.5352767705917358
0.5092961192131042,0.6911532878875732,0.024915127083659172,0.024591317400336266,0.5380769371986389,0.5369733572006226,0.5249800682067871,0.6893071532249451,0.025019101798534393,0.025348635390400887,0.5369230508804321,0.5357159972190857
0.50998854637146,0.691149890422821,0.02489861100912094,0.024508768692612648,0.5353845953941345,0.5368191003799438,0.5252916812896729,0.6893001794815063,0.025116458535194397,0.0250890851020813,0.5307692289352417,0.5368343591690063
0.5105771422386169,0.6911472678184509,0.024893101304769516,0.02445431798696518,0.5334615111351013,0.5367324948310852,0.5241491794586182,0.6892959475517273,0.025122560560703278,0.02509792521595955,0.5323076844215393,0.5369664430618286
0.5111051201820374,0.6911458373069763,0.02487300895154476,0.02449743263423443,0.5338461399078369,0.5364899635314941,0.5234566926956177,0.6892926096916199,0.02515929564833641,0.025199130177497864,0.5353845953941345,0.537606954574585
0.5113561749458313,0.6911453604698181,0.024862438440322876,0.024493183940649033,0.5334615111351013,0.5364131927490234,0.5231105089187622,0.6892898678779602,0.025111723691225052,0.025180896744132042,0.5353845953941345,0.5380295515060425
0.5118235349655151,0.6911447048187256,0.02485024929046631,0.024466129019856453,0.5323076844215393,0.5363536477088928,0.5231450796127319,0.6892881989479065,0.025115564465522766,0.02518272027373314,0.5353845953941345,0.5383002758026123
0.5121265053749084,0.6911436915397644,0.02484290488064289,0.024464452639222145,0.5319230556488037,0.5362379550933838,0.5233182311058044,0.6892868280410767,0.025125667452812195,0.025191834196448326,0.5353845953941345,0.5382300615310669
0.5125073790550232,0.6911435127258301,0.024859417229890823,0.024483509361743927,0.5319230556488037,0.5365027785301208,0.5236298441886902,0.689285397529602,0.025101907551288605,0.025208257138729095,0.5353845953941345,0.5379420518875122
0.5128276348114014,0.6911424994468689,0.024848949164152145,0.024516403675079346,0.5323076844215393,0.5364561080932617,0.5236990451812744,0.689284086227417,0.02508786879479885,0.02507428079843521,0.5323076844215393,0.5378633737564087
