accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.4260205030441284,0.6937946081161499,0.02188674546778202,0.022240884602069855,0.5703846216201782,0.4909369647502899,0.7814977765083313,0.6895484328269958,0.02245144546031952,0.024205747991800308,0.2215384542942047,0.491733193397522,0.0010000000474974513
0.6152580976486206,0.6934823393821716,0.02288879081606865,0.02234751731157303,0.3765384554862976,0.4981996715068817,0.8329467177391052,0.6839755177497864,0.023343827575445175,0.024162298068404198,0.16307692229747772,0.514022171497345,0.0010000000474974513
0.5888065695762634,0.6934252381324768,0.02238866314291954,0.022662527859210968,0.4099999964237213,0.5005078315734863,0.8329467177391052,0.6828715205192566,0.023536957800388336,0.024162298068404198,0.16307692229747772,0.515691876411438,0.0010000000474974513
0.4682079553604126,0.6936525106430054,0.022780783474445343,0.022681917995214462,0.5376923084259033,0.49804985523223877,0.7817054986953735,0.6883824467658997,0.02319464646279812,0.02423018589615822,0.2215384542942047,0.5053422451019287,0.0010000000474974513
0.4432970881462097,0.6935549378395081,0.02221963368356228,0.022484254091978073,0.5588461756706238,0.49540209770202637,0.7817054986953735,0.6923226118087769,0.023375986143946648,0.02423018589615822,0.2215384542942047,0.5121520757675171,0.0010000000474974513
0.6198975443840027,0.6931478977203369,0.022793103009462357,0.022204745560884476,0.3692307770252228,0.49700409173965454,0.7998822927474976,0.6910529136657715,0.02320937067270279,0.024295251816511154,0.20153845846652985,0.507953405380249,0.0005000000237487257
0.6936087012290955,0.6930072903633118,0.023240577429533005,0.023090792819857597,0.3053846061229706,0.5068854689598083,0.7998822927474976,0.6885020136833191,0.023555492982268333,0.024295251816511154,0.20153845846652985,0.5174070596694946,0.0005000000237487257
0.7876432538032532,0.6929621696472168,0.02342049777507782,0.0247031282633543,0.2192307710647583,0.505595862865448,0.7998822927474976,0.6901877522468567,0.0229412242770195,0.024295251816511154,0.20153845846652985,0.5073396563529968,0.0002500000118743628
0.7715351581573486,0.6929394602775574,0.02364274114370346,0.02335643582046032,0.22423076629638672,0.5094338655471802,0.813523530960083,0.6912012100219727,0.02320936881005764,0.024497991427779198,0.1876923143863678,0.507953405380249,0.0002500000118743628
0.7898244857788086,0.6929336786270142,0.023504598066210747,0.024225400760769844,0.21230769157409668,0.5111287236213684,0.813523530960083,0.6919395327568054,0.022948231548070908,0.024497991427779198,0.1876923143863678,0.5075509548187256,0.0001250000059371814
0.7679170966148376,0.692901074886322,0.023574452847242355,0.024321245029568672,0.23807692527770996,0.5157192945480347,0.7855139970779419,0.6880542039871216,0.02258073166012764,0.02419769950211048,0.2169230729341507,0.49380698800086975,0.0001250000059371814
0.7459491491317749,0.6929901838302612,0.0231834314763546,0.023545755073428154,0.2542307674884796,0.5056518316268921,0.7850984930992126,0.6901342272758484,0.02306528203189373,0.024473728612065315,0.2199999988079071,0.5076057314872742,6.25000029685907e-05
