accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.4883149266242981,0.7395643591880798,0.02255963161587715,0.022878466174006462,0.5211538672447205,0.5042889714241028,0.7788318395614624,0.6415053009986877,0.02448154240846634,0.025628305971622467,0.23846153914928436,0.5245166420936584,0.0010000000474974513
0.5207648277282715,0.7034180164337158,0.02429022267460823,0.02425302565097809,0.517307698726654,0.5229469537734985,0.6806772351264954,0.6710209250450134,0.025561846792697906,0.026301247999072075,0.3661538362503052,0.5474647879600525,0.0010000000474974513
0.5032891035079956,0.6973339319229126,0.024195600301027298,0.024080058559775352,0.5330769419670105,0.5234470367431641,0.6016342043876648,0.6674754023551941,0.026284994557499886,0.02610441856086254,0.46000000834465027,0.5384830236434937,0.0010000000474974513
0.5181161761283875,0.6947414875030518,0.024525636807084084,0.02382960356771946,0.510769248008728,0.52464359998703,0.6551604866981506,0.6740654110908508,0.02617829665541649,0.025387438014149666,0.383076936006546,0.5451935529708862,0.0010000000474974513
0.5348561406135559,0.6921680569648743,0.0254971906542778,0.024951230734586716,0.5165384411811829,0.5343018174171448,0.6670359969139099,0.6665924787521362,0.02658659964799881,0.026107177138328552,0.3799999952316284,0.5495925545692444,0.0010000000474974513
0.5148703455924988,0.6896370649337769,0.026563823223114014,0.025514008477330208,0.5526922941207886,0.548782229423523,0.6240695118904114,0.6687784790992737,0.02718924917280674,0.026706231757998466,0.4430769085884094,0.5543920993804932,0.0010000000474974513
0.5315324068069458,0.6901232600212097,0.02607540227472782,0.025562165305018425,0.5338461399078369,0.5458030700683594,0.6658934354782104,0.6683697700500488,0.027737557888031006,0.02651515230536461,0.38769230246543884,0.5546960830688477,0.0010000000474974513
0.5122909545898438,0.6901277303695679,0.02616383321583271,0.025346191599965096,0.5519230961799622,0.544771671295166,0.6252467036247253,0.6730268597602844,0.026292985305190086,0.02687872014939785,0.4446153938770294,0.5405669212341309,0.0010000000474974513
0.5185835957527161,0.6895893216133118,0.02690947987139225,0.02538716234266758,0.5453845858573914,0.5508164167404175,0.6127479672431946,0.6710952520370483,0.02741384319961071,0.02634655125439167,0.45076924562454224,0.5499420166015625,0.0010000000474974513
0.5175362825393677,0.6890876889228821,0.027594752609729767,0.025484872981905937,0.5488461256027222,0.5493471622467041,0.564380407333374,0.678257167339325,0.027201667428016663,0.025981249287724495,0.5030769109725952,0.5482207536697388,0.0005000000237487257
0.5318353176116943,0.6878895163536072,0.028173502534627914,0.026259614154696465,0.5488461256027222,0.5553934574127197,0.5549977421760559,0.6764811277389526,0.02697306126356125,0.026317832991480827,0.5215384364128113,0.5476999282836914,0.0005000000237487257
0.530606210231781,0.6870319843292236,0.028750164434313774,0.026903199031949043,0.5646153688430786,0.5625293254852295,0.5603642463684082,0.6764243841171265,0.026880288496613503,0.02559458091855049,0.5,0.5469690561294556,0.0002500000118743628
