dataset,n_features,best_threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
../fraud_preprocessing/fraud_prepared_numeric.csv,55,0.6500000000000001,0.9234987812984711,0.045242537313432835,0.11945812807881774,0.06562922868741543,0.610418170656742,0.03430978270669973
../wrapper/fraud_selected_features_rfecv.csv,17,0.5000000000000001,0.6645247064037226,0.025369623655913977,0.37192118226600984,0.04749921358917899,0.5346568341309017,0.025336399312371728
../PCA/fraud_pca_95_variance.csv,11,0.5000000000000001,0.5490250387768668,0.02388280192047273,0.47783251231527096,0.045491851330753896,0.5232208565108323,0.025044787334441616
