accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.5157099366188049,0.7652085423469543,0.022946998476982117,0.02227833680808544,0.47846153378486633,0.5011752843856812,0.5339472889900208,0.6854165196418762,0.02301882766187191,0.021799178794026375,0.44923076033592224,0.5012325048446655,0.0010000000474974513
0.5151386857032776,0.7137439250946045,0.02342347428202629,0.02322426252067089,0.5003846287727356,0.5094881653785706,0.583076536655426,0.6873503923416138,0.02425840124487877,0.023267492651939392,0.4276922941207886,0.514775276184082,0.0010000000474974513
0.5241924524307251,0.7035789489746094,0.024701954796910286,0.02437562495470047,0.516153872013092,0.5254546403884888,0.5580445528030396,0.6981761455535889,0.02452991157770157,0.024417052045464516,0.47846153378486633,0.5270015001296997,0.0010000000474974513
0.5115119814872742,0.7008578777313232,0.02362048253417015,0.023592084646224976,0.5126923322677612,0.518541693687439,0.4804556369781494,0.6949027180671692,0.025343863293528557,0.024383779615163803,0.5661538243293762,0.5317932367324829,0.0010000000474974513
0.5143163800239563,0.6970855593681335,0.024114390835165977,0.023405771702528,0.505384624004364,0.5163217782974243,0.4479105472564697,0.6979394555091858,0.025037316605448723,0.023607823997735977,0.5830768942832947,0.5295487642288208,0.0010000000474974513
0.5218814015388489,0.6927204132080078,0.025377530604600906,0.024876341223716736,0.5299999713897705,0.5334657430648804,0.5145933628082275,0.6877813935279846,0.025746023282408714,0.024875622242689133,0.5384615659713745,0.5397449731826782,0.0010000000474974513
0.5180729031562805,0.6911429166793823,0.025610901415348053,0.02519053965806961,0.5415384769439697,0.5372409820556641,0.5197174549102783,0.687375009059906,0.025419874116778374,0.024456912651658058,0.5230769515037537,0.5403622388839722,0.0010000000474974513
0.4953692555427551,0.6925433874130249,0.025320926681160927,0.024223994463682175,0.5453845858573914,0.5338408946990967,0.5274729132652283,0.6866773366928101,0.025510940700769424,0.02492690086364746,0.5246154069900513,0.5410727262496948,0.0010000000474974513
0.505582869052887,0.6917563676834106,0.02481812983751297,0.024738924577832222,0.545769214630127,0.5340374708175659,0.5244261622428894,0.6844805479049683,0.02591073140501976,0.025388075038790703,0.5384615659713745,0.5433863401412964,0.0005000000237487257
0.5128535628318787,0.6896632313728333,0.026164542883634567,0.02550957351922989,0.5550000071525574,0.5485113859176636,0.5282692313194275,0.6827707290649414,0.025345560163259506,0.024690452963113785,0.5184615254402161,0.5372892022132874,0.0005000000237487257
0.500406801700592,0.6900461912155151,0.02638307586312294,0.02554788440465927,0.5707692503929138,0.5482610464096069,0.5379981398582458,0.6871673464775085,0.02593114599585533,0.024996258318424225,0.5138461589813232,0.543519139289856,0.0005000000237487257
0.5064830780029297,0.6908134818077087,0.026167061179876328,0.025380710139870644,0.5596153736114502,0.5413556694984436,0.5082228183746338,0.6929780840873718,0.02587926760315895,0.02468789368867874,0.5415384769439697,0.5409947037696838,0.0002500000118743628
0.5242270827293396,0.6884385347366333,0.027356592938303947,0.025996126234531403,0.552307665348053,0.5543599128723145,0.5503583550453186,0.6858296990394592,0.026041831821203232,0.024365795776247978,0.48615384101867676,0.5406584739685059,0.0002500000118743628
0.5202887654304504,0.6888207793235779,0.026660073548555374,0.0258348286151886,0.5534615516662598,0.5507196187973022,0.547450065612793,0.6866264343261719,0.026269305497407913,0.025154829025268555,0.5061538219451904,0.5431506633758545,0.0002500000118743628
0.5300349593162537,0.6883324384689331,0.02808324806392193,0.025550661608576775,0.5353845953941345,0.5518606901168823,0.5786795020103455,0.6829505562782288,0.026194259524345398,0.02553752437233925,0.4769230782985687,0.5425344705581665,0.0002500000118743628
0.5368815660476685,0.6885427832603455,0.027365105226635933,0.026826048269867897,0.5550000071525574,0.5593949556350708,0.5607104301452637,0.6851438879966736,0.026050716638565063,0.02494080550968647,0.48615384101867676,0.5407744646072388,0.0002500000118743628
0.5511286854743958,0.6882561445236206,0.02780740335583687,0.026928912848234177,0.5392307639122009,0.5570052266120911,0.5567288994789124,0.6858660578727722,0.025931667536497116,0.024939410388469696,0.49076923727989197,0.5416808128356934,0.0001250000059371814
0.5398591160774231,0.6879521012306213,0.027761731296777725,0.02637840248644352,0.5415384769439697,0.5568123459815979,0.5497004985809326,0.6871758103370667,0.026204802095890045,0.024842331185936928,0.4969230890274048,0.5426023006439209,0.0001250000059371814
0.5419450998306274,0.6872201561927795,0.02769545465707779,0.02696096897125244,0.5515384674072266,0.5621650815010071,0.5479001402854919,0.6868681907653809,0.02607399970293045,0.024743374437093735,0.4969230890274048,0.5416901111602783,6.25000029685907e-05
