accuracy,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,learning_rate
0.4829484522342682,0.7607001066207886,0.02315036579966545,0.02335824817419052,0.5384615659713745,0.5079907178878784,0.5468268394470215,0.6772353053092957,0.024897389113903046,0.0233734380453825,0.4692307710647583,0.5159872174263,0.0010000000474974513
0.5142298340797424,0.7099809646606445,0.024696284905076027,0.023588264361023903,0.5096153616905212,0.5207812786102295,0.6244503855705261,0.6639344692230225,0.029137013480067253,0.024792619049549103,0.4092307686805725,0.5279796719551086,0.0010000000474974513
0.5305196642875671,0.6974963545799255,0.025821123272180557,0.02507081627845764,0.5242307782173157,0.535401463508606,0.6295744776725769,0.6695168018341064,0.026963192969560623,0.026660386472940445,0.435384601354599,0.5379244089126587,0.0010000000474974513
0.547380805015564,0.6897785663604736,0.0273764505982399,0.027085157111287117,0.5473076701164246,0.5597330331802368,0.5828341841697693,0.6753275990486145,0.028780590742826462,0.026816105470061302,0.4969230890274048,0.5538272857666016,0.0010000000474974513
0.5374268889427185,0.6873890161514282,0.028213609009981155,0.02639913558959961,0.5450000166893005,0.5617323517799377,0.6010802388191223,0.6697366833686829,0.02915726602077484,0.02631578966975212,0.4646153748035431,0.5526928901672363,0.0005000000237487257
0.5427154302597046,0.68413907289505,0.029265359044075012,0.027948500588536263,0.5719230771064758,0.5778032541275024,0.6151369214057922,0.6666399240493774,0.029639486223459244,0.02847359888255596,0.48615384101867676,0.5602835416793823,0.0005000000237487257
0.5551102757453918,0.6824594736099243,0.030721426010131836,0.02786431647837162,0.5538461804389954,0.5817475318908691,0.609839677810669,0.6668744683265686,0.030574185773730278,0.028002489358186722,0.48461538553237915,0.5700010657310486,0.0005000000237487257
0.561039388179779,0.6808509230613708,0.031073708087205887,0.02864532358944416,0.5623077154159546,0.5862818956375122,0.5893431901931763,0.6720433235168457,0.031548988074064255,0.02748040109872818,0.5015384554862976,0.573903501033783,0.0005000000237487257
0.5579320192337036,0.6790317296981812,0.03160963952541351,0.029068298637866974,0.5753846168518066,0.5958235263824463,0.5924592614173889,0.6646905541419983,0.03168787062168121,0.027770699933171272,0.5030769109725952,0.5755636692047119,0.0005000000237487257
0.5599660873413086,0.674347460269928,0.03464405611157417,0.03042987361550331,0.6011538505554199,0.6083428859710693,0.6164872050285339,0.6599568128585815,0.03201202303171158,0.029170053079724312,0.4969230890274048,0.580880880355835,0.0005000000237487257
0.5797268152236938,0.6729792952537537,0.03487502038478851,0.03056367114186287,0.5753846168518066,0.6116222143173218,0.6310632824897766,0.6527858376502991,0.03284325823187828,0.029704831540584564,0.48615384101867676,0.5867329835891724,0.0005000000237487257
0.5837084054946899,0.6732044219970703,0.034536316990852356,0.030931023880839348,0.5769230723381042,0.6136312484741211,0.6241041421890259,0.6576275825500488,0.03391878306865692,0.030280718579888344,0.5061538219451904,0.5930529236793518,0.0005000000237487257
0.5845133662223816,0.67013019323349,0.035623885691165924,0.03176436573266983,0.5923076868057251,0.6239717602729797,0.6328636407852173,0.6488656401634216,0.03351139649748802,0.02976190485060215,0.48461538553237915,0.5881693363189697,0.0005000000237487257
